"","X_SynCom_A_T42_repeat_L1","X_SynCom_B_T42_repeat_L1","X_SynCom_C_T42_repeat_L1","X_SynCom_A_T53_repeat_L1","X_SynCom_B_T53_repeat_L1","X_SynCom_C_T53_repeat_L1","X_SynCom_A_T71_repeat_L1","X_SynCom_B_T71_repeat_L1","X_SynCom_C_T71_repeat_L1","X_R12_A_T77_repeat_L1","X_R12_B_T77_repeat_L1","X_R12_C_T77_repeat_L1","X_R12_A_T95_repeat_L1","X_R12_B_T95_repeat_L1","X_R12_C_T95_repeat_L1","X_SynCom_A_T95_repeat_L1","X_SynCom_B_T95_repeat_L1","X_SynCom_C_T95_repeat_L1","X_R12_A_T119_repeat_L1","X_R12_B_T119_repeat_L1","X_R12_C_T119_repeat_L1","X_R12_A_T216_repeat_L1","X_R12_B_T216_repeat_L1","X_R12_C_T216_repeat_L1"
"FW510-R12_contig_1_2898",13.7217169778936,13.7772125528737,13.7628548991788,13.1524610197283,13.1848848009706,13.1111000431794,13.8644598566902,13.799755588443,13.8149495468357,14.4917779486772,14.2963607643728,14.4346404207844,13.8274248930362,13.8805872566915,13.8993866664909,13.9413999600166,14.0772032593161,13.9785001311566,14.0252466228605,13.7145595474489,13.7525118992052,13.7526348843811,13.6775445450181,13.7875915102332
"FW510-R12_contig_1_2899",10.8764382786064,10.7980484313626,10.955104976635,11.078481798255,10.9688858774364,11.0711226873559,11.1412826529531,11.1264190194385,11.2131919809291,12.049979436969,11.9845051277557,11.7722689630485,11.4410160654888,11.4330794568402,11.2600958611265,11.1796097252063,11.282477587296,11.282410601345,11.2300313046584,11.2144006015917,11.2179674752465,11.613332214978,11.6008693530851,11.6584690517364
"FW510-R12_contig_1_29",7.26209171972008,7.5231471465854,7.59402186574995,7.41209826092555,7.29685128986202,2.1197029013369,8.28654698638655,8.01612491536386,8.04546765491162,9.6977455685371,8.71099909249529,8.04143169057176,7.3864166341884,7.70316807905689,7.07863719549461,6.5883669575484,6.56666558235569,6.77118201066887,6.95709445506899,6.9977539272691,6.74064131740638,6.38435048223073,6.63546432960924,6.52946707418443
"FW510-R12_contig_1_290",6.62468198529722,6.85256276371636,6.78324193950123,6.91174055427196,6.72412311064849,2.1197029013369,7.20340730301772,7.39531360810935,7.17639648271255,6.78856857692692,6.76348909134012,6.91816946335197,6.84233392032076,6.70686412474836,6.86787321488307,7.43893757547274,7.40547996483256,7.26403498165118,7.35809115083438,7.17739310472149,7.32611933684998,8.35525014789537,8.62446676148559,8.52926245644444
"FW510-R12_contig_1_2900",9.16462697491733,9.01265143344906,9.23232867701073,8.75892630198573,8.96697292678435,8.68096761750521,8.77141567407009,8.49464719894514,8.52874263008808,9.23561754118599,9.05358901258045,9.03900495335872,8.70535408268865,8.74424597547293,8.75179837321253,8.72361915988008,8.75291024504428,8.65316551323109,8.635015408934,8.58390256087473,8.64844477199585,8.32899588216224,8.00403232848648,8.01393164940486
"FW510-R12_contig_1_2901",9.2662236712556,9.28436704313825,9.49190695919985,9.67482714953185,9.81489781398574,9.08841700908792,9.76942693755855,9.68981740434814,9.7876163422275,10.3210285202259,10.1689181530289,10.136741641985,9.72333833288017,9.7525595041226,9.69894286488332,9.8944851733251,9.92553658514025,9.98411510333316,9.55138379833796,9.62441329214413,9.69391012825728,9.321025930399,9.38912673275386,9.38771403764073
"FW510-R12_contig_1_2902",8.75006171606673,8.31449462296756,8.41911370516375,8.95974693836196,9.37991291881974,10.2455612578883,9.35096609747558,9.17606441038033,9.53351722540272,10.0307413874697,10.0516801231088,9.99372654336077,9.61442296748505,9.6524340665005,9.40611193377219,9.00065128728091,9.47108623862146,9.54342150742439,9.16880840522161,9.2952398813982,8.91968901870481,8.55291466407279,8.43830556765667,8.67011583124992
"FW510-R12_contig_1_2903",12.8926689575148,13.1620774505856,12.733577984139,12.7461845466382,12.5674545370866,13.0890955306388,12.9291700984345,12.8440044602109,12.9028018900158,13.357560244402,13.0917146381491,13.1618219767552,13.2827173082597,13.3368728152706,13.2718154449887,12.6665926042661,12.5919000949171,12.6368653043219,13.4440966513162,13.2244594487698,13.1565469543194,13.7571243832744,13.5778893500373,13.8825022046256
"FW510-R12_contig_1_2904",9.27749890251721,9.15201242253183,9.51880479294202,9.5532731614799,9.85107723447713,9.40576349625112,9.73967065035619,9.60853367660223,9.65134324172849,10.1363027974194,10.1385419046967,10.0711416096489,9.57489411117134,9.50101781919462,9.55432179162584,9.84717332636844,10.0717848924479,10.0634666725328,9.38623106575991,9.40899149625711,9.31569671360847,8.38103500096475,8.3215281063513,8.3848787465467
"FW510-R12_contig_1_2905",7.91953924498742,7.78399383244998,8.05564057520885,8.69467002935975,8.67565314158909,9.40576349625112,9.05730666030873,8.71939787411123,9.02183391817578,9.14204303876788,9.17353986766028,9.06826965378612,8.79143078810776,8.6387622885634,8.76646443130099,8.90619378952567,8.91529247785843,9.1953656306061,8.43346473658664,8.70720916875953,8.66933553238109,7.37775589755194,7.45763630907705,7.57595644905177
"FW510-R12_contig_1_2906",9.11520858581984,8.83697566686766,8.70332397991638,9.55068263320689,9.95447058265598,10.2455612578883,9.51218411194718,9.4307846577658,9.88029462262895,9.70574399099729,9.73913074232957,9.67567055775509,9.68462990678622,9.59228730878652,9.35608582763318,9.46378353799028,9.58475623711544,9.85471307166542,9.25387133122915,9.24245059754514,9.40954143993735,7.90527907054655,7.80957711206782,7.97306974279744
