target_id,X_SynCom_A_T42_repeat_L1,X_SynCom_B_T42_repeat_L1,X_SynCom_C_T42_repeat_L1,X_SynCom_A_T53_repeat_L1,X_SynCom_B_T53_repeat_L1,X_SynCom_C_T53_repeat_L1,X_SynCom_A_T71_repeat_L1,X_SynCom_B_T71_repeat_L1,X_SynCom_C_T71_repeat_L1,X_R12_A_T77_repeat_L1,X_R12_B_T77_repeat_L1,X_R12_C_T77_repeat_L1,X_R12_A_T95_repeat_L1,X_R12_B_T95_repeat_L1,X_R12_C_T95_repeat_L1,X_SynCom_A_T95_repeat_L1,X_SynCom_B_T95_repeat_L1,X_SynCom_C_T95_repeat_L1,X_R12_A_T119_repeat_L1,X_R12_B_T119_repeat_L1,X_R12_C_T119_repeat_L1,X_SynCom_A_T142_repeat_L1,X_SynCom_B_T142_repeat_L1,X_SynCom_C_T142_repeat_L1,X_R12_A_T216_repeat_L1,X_R12_B_T216_repeat_L1,X_R12_C_T216_repeat_L1
FW510-R12_contig_1_1754,1052,679,1120,1532,339,13,2961,1390,1908,8772,10405,4720,7760,5421,6018,2939,3287,3488,4250,4365,6451,17,161,14,783,884,632
FW510-R12_contig_1_1755,291,174,288,273,54,4,421,182,232,2011,2721,1256,1502,1137,1321,456,370,433,787,923,1204,6,24,2,298,337,296
FW510-R12_contig_1_1756,86,54,76,101,28,0,148,72,112,594,854,379,532,367,420,112,104,98,309,398,498,1,6,0,93,125,83
FW510-R12_contig_1_1757,341,209,253,297,91,2,513,258,354,1998,2502,1174,1902,1384,1557,437,365,450,1007,1174,1463,2,9,1,307,384,299
FW510-R12_contig_1_1758,187,124,153,165,31,0,303,131,175,862,1213,574,957,795,786,283,182,238,532,615,752,5,10,3,248,249,251
FW510-R12_contig_1_1759,219,159,197,237,63,1,276,155,177,999,1393,646,1115,779,818,244,192,206,652,701,1064,12,11,2,269,279,303
FW510-R12_contig_1_176,197,141,140,195,61,1,246,167,195,401,667,285,691,455,606,219,202,188,495,604,930,9,1,2,143,155,123
FW510-R12_contig_1_1760,207,123,161,174,36,0,274,122,183,1042,1389,584,1145,769,771,202,207,227,659,724,954,7,15,4,244,282,248
FW510-R12_contig_1_1761,332,237,282,499,153,9,818,505,755,1795,1662,840,2170,1625,1859,808,768,724,1545,1745,2760,4,10,2,718,630,604
FW510-R12_contig_1_1762,546,267,524,1105,359,13,2131,1088,1830,5652,6236,3148,6068,3996,4336,2133,2457,2697,3151,3625,4474,6,8,4,822,769,656
FW510-R12_contig_1_1763,1188,921,1346,2125,493,18,4912,2137,2515,8669,10464,5013,10278,6691,8525,4823,5232,5765,7644,7108,10502,23,143,12,1339,1451,1227
FW510-R12_contig_1_1764,1636,943,1820,2147,574,6,4259,1720,2018,8614,12065,5730,9435,6098,7713,3970,4206,4006,6185,5983,7392,23,152,11,1003,870,844
FW510-R12_contig_1_1765,3371,2264,3533,3156,748,24,5212,1964,2592,18211,21761,10694,17428,12122,14412,4713,4737,4551,10237,10346,15254,37,353,51,1797,1599,1571
FW510-R12_contig_1_1766,2005,1372,1708,1358,293,13,2066,1080,1473,9253,10606,6019,10176,7248,9613,1913,2129,2165,6077,5636,8434,32,160,19,969,883,835
FW510-R12_contig_1_1767,2237,1349,1795,1765,379,19,2274,1308,1669,10838,14516,7268,12892,8996,9836,2337,2299,2341,6900,6955,10638,16,55,15,1005,896,913
FW510-R12_contig_1_1768,3192,2094,2783,2940,714,30,4043,2081,2530,22482,28710,13608,21045,14967,15488,3556,3537,3737,12293,12170,16535,89,144,25,1514,1387,1470
