target_id,X_3H11_A_T42_repeat_L1,X_3H11_B_T42_repeat_L1,X_3H11_C_T42_repeat_L1,X_SynCom_A_T42_repeat_L1,X_SynCom_B_T42_repeat_L1,X_SynCom_C_T42_repeat_L1,X_3H11_A_T53_repeat_L1,X_3H11_B_T53_repeat_L1,X_3H11_C_T53_repeat_L1,X_SynCom_A_T53_repeat_L1,X_SynCom_B_T53_repeat_L1,X_SynCom_C_T53_repeat_L1,X_SynCom_A_T71_repeat_L1,X_SynCom_B_T71_repeat_L1,X_SynCom_C_T71_repeat_L1,X_SynCom_A_T95_repeat_L1,X_SynCom_B_T95_repeat_L1,X_SynCom_C_T95_repeat_L1,X_SynCom_A_T142_repeat_L1,X_SynCom_B_T142_repeat_L1,X_SynCom_C_T142_repeat_L1
GW101-3H11_contig_1_1093,2148,3371,3276,5156,5675,6005,103,118,171,1380,673,36,2054,1062,1060,2312,2406,2404,108,144,68
GW101-3H11_contig_1_1094,2282,3122,3015,3505,4346,4935,67,91,130,1015,327,9,1246,665,744,1560,1248,1058,147,118,71
GW101-3H11_contig_1_1095,1290,1789,1931,2644,3011,3216,21,37,22,319,134,6,564,299,314,816,794,653,33,47,30
GW101-3H11_contig_1_1096,610,761,877,1243,1219,1430,11,15,18,126,52,2,127,97,98,308,283,203,26,24,4
GW101-3H11_contig_1_1097,239,307,207,186,247,259,10,22,15,136,41,0,146,103,78,99,82,76,811,413,535
GW101-3H11_contig_1_1098,345,495,483,611,772,880,15,19,10,111,39,6,243,110,107,173,164,210,280,207,124
GW101-3H11_contig_1_1099,4900,6182,6423,6556,7474,8612,236,344,481,1810,727,39,3455,1557,1594,3193,2975,2742,1026,787,615
GW101-3H11_contig_1_11,13,13,15,15,18,32,0,2,3,9,6,0,6,8,15,2,16,2,2,3,1
GW101-3H11_contig_1_110,46,52,58,87,103,84,2,0,2,7,2,0,10,7,13,8,10,9,5,3,2
GW101-3H11_contig_1_1100,624,712,679,959,1007,1236,35,42,53,338,100,3,721,444,439,608,556,494,22,38,12
GW101-3H11_contig_1_1101,311,326,286,444,437,652,10,10,26,133,41,1,211,110,129,189,163,131,58,60,39
GW101-3H11_contig_1_1102,136,128,129,153,165,237,14,33,32,56,11,0,77,75,66,50,54,35,51,44,25
GW101-3H11_contig_1_1103,429,429,385,406,481,507,8,10,5,115,29,2,143,100,104,67,90,89,11,21,10
GW101-3H11_contig_1_1104,1173,1195,971,1340,1467,1752,89,103,164,559,261,18,860,499,510,500,414,335,336,255,193
GW101-3H11_contig_1_1105,203,211,240,311,377,435,3,12,16,32,5,0,58,33,22,30,44,29,32,34,18
GW101-3H11_contig_1_1106,865,822,705,895,1212,1415,35,31,53,182,68,0,244,154,159,241,209,176,193,80,91
GW101-3H11_contig_1_1107,6506,5757,4891,4843,5920,7871,208,118,77,1947,715,31,2398,1382,1432,1799,1563,1470,280,209,179
GW101-3H11_contig_1_1108,7349,7723,6472,7494,9189,10548,74,113,117,2120,863,47,3285,2134,2118,2709,2569,2812,6254,3751,3901
GW101-3H11_contig_1_1109,1623,2402,2590,2021,2330,2277,38,43,34,435,131,3,1046,668,628,807,835,874,245,182,148
GW101-3H11_contig_1_111,3129,2971,2707,1939,2053,3030,1067,1366,1481,1941,752,18,2595,1574,1607,848,800,761,168,173,95
GW101-3H11_contig_1_1110,5320,6411,7736,4108,5361,6308,184,202,241,1209,649,32,3293,1473,1578,3079,3139,3518,486,390,299
GW101-3H11_contig_1_1111,941,1174,1268,932,921,1152,47,85,193,282,187,3,459,220,262,469,503,508,18,17,19
GW101-3H11_contig_1_1112,896,1246,1257,960,1226,1420,37,57,66,318,125,4,423,248,224,419,387,337,473,398,279
GW101-3H11_contig_1_1113,389,519,545,483,585,666,45,77,85,146,36,2,210,121,94,182,146,129,186,108,77
GW101-3H11_contig_1_1114,6347,6541,5479,4259,5250,6627,881,874,1001,3138,1237,57,4123,2925,2531,1572,1618,1561,2433,1519,1322
GW101-3H11_contig_1_1115,2617,2869,2468,2667,2996,3778,203,280,386,1108,416,18,1625,1076,1121,1076,1136,1005,265,210,172
GW101-3H11_contig_1_1116,670,637,621,569,627,789,101,65,83,313,95,4,418,256,236,283,228,182,113,65,75
GW101-3H11_contig_1_1117,395,392,394,397,464,578,10,21,30,156,69,4,191,129,108,131,152,106,64,39,38
GW101-3H11_contig_1_1118,574,560,468,448,530,642,91,101,147,265,81,4,473,277,276,300,280,315,136,117,95
GW101-3H11_contig_1_1119,1327,1675,1756,1126,1150,1476,70,58,33,558,255,16,1516,925,757,1278,908,877,125,110,81
GW101-3H11_contig_1_112,456,496,437,358,380,465,89,135,198,277,113,7,336,208,203,135,207,143,49,37,29
GW101-3H11_contig_1_1120,81,84,115,98,109,90,3,15,2,17,6,0,34,22,21,33,19,35,4,9,8
GW101-3H11_contig_1_1121,129,202,193,231,252,264,9,11,8,45,21,1,129,59,74,99,94,109,48,48,38
GW101-3H11_contig_1_1122,4369,5149,4814,2832,3103,3389,584,803,861,1686,616,29,2746,1452,1435,1654,1734,1722,613,758,280
GW101-3H11_contig_1_1123,239,267,268,170,212,320,44,36,41,136,43,3,171,106,80,122,97,87,103,69,48
GW101-3H11_contig_1_1124,231,223,255,232,262,385,24,23,23,124,45,0,148,106,122,98,90,94,19,18,8
GW101-3H11_contig_1_1125,155,197,224,256,248,231,6,6,15,21,8,0,30,7,17,54,22,13,16,9,11
GW101-3H11_contig_1_1126,654,913,817,656,862,756,30,31,31,59,27,3,107,50,86,196,153,111,124,95,82
GW101-3H11_contig_1_1127,432,572,638,542,724,705,18,16,17,92,21,3,132,66,64,190,137,115,45,36,21
GW101-3H11_contig_1_1128,191,319,386,418,464,506,9,5,9,34,24,0,124,59,76,129,152,126,8,10,8
GW101-3H11_contig_1_1129,2495,4130,4235,3005,3659,3830,101,117,83,858,316,10,2097,1052,1155,1945,1701,1656,92,112,55
GW101-3H11_contig_1_113,1666,1551,1396,1387,1694,2035,172,159,204,863,319,6,1166,749,772,821,799,707,110,81,57
GW101-3H11_contig_1_1130,428,568,508,421,496,662,16,11,23,219,90,11,296,214,193,374,297,236,83,71,40
GW101-3H11_contig_1_1131,5386,7503,8544,6534,7106,7128,360,501,504,1612,443,32,2231,990,1283,1401,993,769,256,313,161
GW101-3H11_contig_1_1132,257,398,483,428,410,444,28,53,91,95,29,0,103,68,81,73,33,20,29,22,20
GW101-3H11_contig_1_1133,131,218,234,303,281,294,4,4,11,57,19,2,81,46,54,67,62,51,51,33,18
GW101-3H11_contig_1_1134,3012,2987,3211,1342,1250,1835,461,311,282,1304,346,23,2933,1338,1457,2383,1681,1353,3803,4326,1977
